task_id,score,time_score,error_type,pred_thresh,true_thresh,pred_time,true_time
task_11,0.1652251575448906,0.6609006301795624,SAFE (+2),4,1,5.7753496,3.816932201385498
task_12,0.5552737719564897,0.5552737719564897,PERFECT,2,2,38.95205,70.1492691040039
task_13,0.7018320835194486,0.7018320835194486,PERFECT,2,2,16.977356,24.190053939819336
task_14,0.5787821472358385,0.5787821472358385,PERFECT,2,2,45.161182,78.02794647216797
task_15,0.6990182219135348,0.6990182219135348,PERFECT,2,2,22.805182,32.62458801269531
task_16,0.0,0.08998213089426257,FATAL,2,4,224.17111,20.17139434814453
task_17,0.0,0.1605507596037792,FATAL,2,4,484.32755,77.7591552734375
task_18,0.16282174672447694,0.16282174672447694,PERFECT,4,4,283.33026,46.132328033447266
task_19,0.0,0.07987478567817766,FATAL,16,64,70.16016,878.3767700195312
task_20,0.0,0.10855142722284421,FATAL,16,64,24.529383,225.97015380859375
task_21,0.41513951879815,0.41513951879815,PERFECT,2,2,23.243483,9.649288177490234
task_22,0.5885862722259214,0.5885862722259214,PERFECT,2,2,13.831298,8.140912055969238
task_23,0.40145902717933973,0.40145902717933973,PERFECT,2,2,24.238302,9.730685234069824
task_24,0.5233581874807871,0.5233581874807871,PERFECT,2,2,16.113447,8.433104515075684
task_0,0.20856592096534932,0.20856592096534932,PERFECT,1,1,17.047937,3.5556187629699707
task_1,0.27234393492929393,0.27234393492929393,PERFECT,1,1,4.1811724,1.1387169361114502
task_2,0.07231347359172093,0.07231347359172093,PERFECT,1,1,90.078224,6.513869285583496
task_3,0.09245791278662074,0.09245791278662074,PERFECT,1,1,40.930496,3.784348249435425
task_4,0.4333131852969893,0.8666263705939786,SAFE (+1),16,8,13.920742,12.064082145690918
task_5,0.4195185910322864,0.8390371820645728,SAFE (+1),16,8,4.115537,4.905071258544922
task_6,0.49110907229137474,0.9822181445827495,SAFE (+1),16,8,15.391254,15.669894218444824
task_7,0.46522788129853654,0.9304557625970731,SAFE (+1),16,8,5.842799,6.2795023918151855
task_8,0.4036540335026531,0.8073080670053062,SAFE (+1),2,1,16.811918,13.572397232055664
task_9,0.21562638990483401,0.8625055596193361,SAFE (+2),4,1,4.280893,3.692293882369995
task_10,0.36031050596493297,0.7206210119298659,SAFE (+1),2,1,17.854774,12.866525650024414
task_11,0.1820272851946292,0.7281091407785169,SAFE (+2),4,1,5.242253,3.816932201385498
task_12,0.5735292598213844,0.5735292598213844,PERFECT,2,2,40.23266,70.1492691040039
task_13,0.695820361118087,0.695820361118087,PERFECT,2,2,16.831932,24.190053939819336
task_14,0.6310844751570774,0.6310844751570774,PERFECT,2,2,49.242226,78.02794647216797
task_15,0.6062885128514535,0.6062885128514535,PERFECT,2,2,19.779913,32.62458801269531
task_16,0.0,0.04408985007178032,FATAL,2,4,457.50653,20.17139434814453
task_17,0.0,0.07338778058885063,FATAL,2,4,1059.5654,77.7591552734375
task_18,0.10630056771630625,0.10630056771630625,PERFECT,4,4,433.98007,46.132328033447266
task_19,0.0,0.07031124653219908,FATAL,16,64,61.759766,878.3767700195312
task_20,0.0,0.12045612079804553,FATAL,16,64,27.219488,225.97015380859375
task_21,0.2875147152914341,0.2875147152914341,PERFECT,2,2,33.561024,9.649288177490234
task_22,0.42283966700521447,0.42283966700521447,PERFECT,2,2,19.252953,8.140912055969238
task_23,0.2901191541776468,0.2901191541776468,PERFECT,2,2,33.540306,9.730685234069824
task_24,0.40455129592276023,0.40455129592276023,PERFECT,2,2,20.845575,8.433104515075684
task_0,0.25913064649485146,0.25913064649485146,PERFECT,1,1,13.721336,3.5556187629699707
task_1,0.31501276869783684,0.31501276869783684,PERFECT,1,1,3.6148279,1.1387169361114502
task_2,0.12048129460972051,0.12048129460972051,PERFECT,1,1,54.0654,6.513869285583496
task_3,0.11154038363460637,0.11154038363460637,PERFECT,1,1,33.928055,3.784348249435425
task_4,0.48327978569667435,0.9665595713933487,SAFE (+1),16,8,11.660654,12.064082145690918
task_5,0.48557994416079825,0.9711598883215965,SAFE (+1),16,8,4.7636085,4.905071258544922
task_6,0.4497375552116949,0.8994751104233898,SAFE (+1),16,8,14.09468,15.669894218444824
task_7,0.484514850526374,0.969029701052748,SAFE (+1),16,8,6.480196,6.2795023918151855
task_8,0.407919368676524,0.815838737353048,SAFE (+1),2,1,11.072887,13.572397232055664
task_9,0.22404502032963747,0.8961800813185499,SAFE (+2),4,1,4.1200356,3.692293882369995
task_10,0.41498777381067975,0.8299755476213595,SAFE (+1),2,1,10.678902,12.866525650024414
task_11,0.20277488457972104,0.8110995383188842,SAFE (+2),4,1,4.705874,3.816932201385498
task_12,0.510941905606603,0.510941905606603,PERFECT,2,2,35.8422,70.1492691040039
task_13,0.603004796746397,0.603004796746397,PERFECT,2,2,14.586719,24.190053939819336
task_14,0.5938321913384782,0.5938321913384782,PERFECT,2,2,46.335506,78.02794647216797
task_15,0.654810730162739,0.654810730162739,PERFECT,2,2,21.36293,32.62458801269531
task_16,0.0,0.036852453753526616,FATAL,2,4,547.3555,20.17139434814453
task_17,0.0,0.059737577901139,FATAL,2,4,1301.6791,77.7591552734375
task_18,0.0,0.0942924443181388,FATAL,2,4,489.24734,46.132328033447266
task_19,0.0,0.08423715328505194,FATAL,16,64,73.99196,878.3767700195312
task_20,0.0,0.11754719032383967,FATAL,16,64,26.562157,225.97015380859375
task_21,0.23222157519944453,0.23222157519944453,PERFECT,2,2,41.552074,9.649288177490234
task_22,0.45150371919277377,0.45150371919277377,PERFECT,2,2,18.030664,8.140912055969238
task_23,0.22914065542271275,0.22914065542271275,PERFECT,2,2,42.465992,9.730685234069824
task_24,0.45480037491871167,0.45480037491871167,PERFECT,2,2,18.54243,8.433104515075684
task_0,0.32859100677878117,0.32859100677878117,PERFECT,1,1,10.820804,3.5556187629699707
task_1,0.3499609015389963,0.3499609015389963,PERFECT,1,1,3.2538404,1.1387169361114502
task_2,0.1359392461886466,0.1359392461886466,PERFECT,1,1,47.917503,6.513869285583496
task_3,0.10894453998020637,0.10894453998020637,PERFECT,1,1,34.736465,3.784348249435425
task_4,0.47265174215716727,0.9453034843143345,SAFE (+1),16,8,12.762126,12.064082145690918
task_5,0.40550293309904073,0.8110058661980815,SAFE (+1),16,8,6.048133,4.905071258544922
task_6,0.4786339299163323,0.9572678598326646,SAFE (+1),16,8,15.000286,15.669894218444824
task_7,0.37166039437276066,0.7433207887455213,SAFE (+1),16,8,8.447904,6.2795023918151855
task_8,0.23145496619630018,0.9258198647852007,SAFE (+2),4,1,14.659868,13.572397232055664
task_9,0.16331244514282187,0.6532497805712875,SAFE (+2),4,1,5.652193,3.692293882369995
task_10,0.20235451550363762,0.8094180620145505,SAFE (+2),4,1,15.89602,12.866525650024414
task_11,0.14219917915267505,0.5687967166107002,SAFE (+2),4,1,6.7105384,3.816932201385498
task_12,0.7698020741510918,0.7698020741510918,PERFECT,2,2,54.001053,70.1492691040039
task_13,0.8244465724769181,0.8244465724769181,PERFECT,2,2,19.943407,24.190053939819336
task_14,0.8016217705608696,0.8016217705608696,PERFECT,2,2,62.5489,78.02794647216797
task_15,0.8388829840721954,0.8388829840721954,PERFECT,2,2,27.368212,32.62458801269531
task_16,0.0,0.04165917698929088,FATAL,2,4,484.2005,20.17139434814453
task_17,0.0,0.08738325490940341,FATAL,2,4,889.86334,77.7591552734375
task_18,0.12658633389505938,0.12658633389505938,PERFECT,4,4,364.43372,46.132328033447266
task_19,0.0,0.09130784517756357,FATAL,16,64,80.20269,878.3767700195312
task_20,0.0,0.10332534448227383,FATAL,16,64,23.348444,225.97015380859375
task_21,0.3616699509319049,0.3616699509319049,PERFECT,2,2,26.679817,9.649288177490234
task_22,0.615123079524966,0.615123079524966,PERFECT,2,2,13.234607,8.140912055969238
task_23,0.4137034650841913,0.4137034650841913,PERFECT,2,2,23.520918,9.730685234069824
task_24,0.5676220012451704,0.5676220012451704,PERFECT,2,2,14.856902,8.433104515075684
task_0,0.2708377509390749,0.2708377509390749,PERFECT,1,1,13.128224,3.5556187629699707
task_1,0.20100548087535092,0.20100548087535092,PERFECT,1,1,5.665104,1.1387169361114502
task_2,0.08241658488903887,0.08241658488903887,PERFECT,1,1,79.035904,6.513869285583496
task_3,0.06965485712508311,0.06965485712508311,PERFECT,1,1,54.329998,3.784348249435425
task_4,0.4092539328323245,0.818507865664649,SAFE (+1),16,8,14.739116,12.064082145690918
task_5,0.4132219386982433,0.8264438773964866,SAFE (+1),16,8,5.9351535,4.905071258544922
task_6,0.4393151378038482,0.8786302756076964,SAFE (+1),16,8,17.834457,15.669894218444824
task_7,0.40504746894524657,0.8100949378904931,SAFE (+1),16,8,7.7515635,6.2795023918151855
task_8,0.24671372479304987,0.9868548991721995,SAFE (+2),4,1,13.393987,13.572397232055664
task_9,0.18874892295667928,0.7549956918267171,SAFE (+2),4,1,4.8904834,3.692293882369995
task_10,0.22595484992839598,0.9038193997135839,SAFE (+2),4,1,14.235726,12.866525650024414
task_11,0.1696343274131146,0.6785373096524584,SAFE (+2),4,1,5.6252356,3.816932201385498
task_12,0.6996770932519668,0.6996770932519668,PERFECT,2,2,49.081837,70.1492691040039
task_13,0.6010398929868627,0.6010398929868627,PERFECT,2,2,14.539187,24.190053939819336
task_14,0.6529630217382355,0.6529630217382355,PERFECT,2,2,50.949364,78.02794647216797
task_15,0.5175480628693434,0.5175480628693434,PERFECT,2,2,16.884792,32.62458801269531
task_16,0.0,0.04385112783381511,FATAL,2,4,459.99716,20.17139434814453
task_17,0.0,0.08772376426270485,FATAL,2,4,886.40924,77.7591552734375
task_18,0.15309172464751206,0.15309172464751206,PERFECT,4,4,301.33783,46.132328033447266
task_19,0.0,0.08803159194862183,FATAL,16,64,77.324905,878.3767700195312
task_20,0.0,0.11620571665683042,FATAL,16,64,26.259024,225.97015380859375
task_21,0.3593826354955819,0.3593826354955819,PERFECT,2,2,26.849623,9.649288177490234
task_22,0.5330340535874887,0.5330340535874887,PERFECT,2,2,15.27278,8.140912055969238
task_23,0.3417896033733564,0.3417896033733564,PERFECT,2,2,28.46981,9.730685234069824
task_24,0.48843784308435834,0.48843784308435834,PERFECT,2,2,17.265461,8.433104515075684
task_0,0.25014456822993136,0.25014456822993136,PERFECT,1,1,14.214255,3.5556187629699707
task_1,0.29355174175006593,0.29355174175006593,PERFECT,1,1,3.8791013,1.1387169361114502
task_2,0.09628709716891176,0.09628709716891176,PERFECT,1,1,67.65049,6.513869285583496
task_3,0.08391118561562438,0.08391118561562438,PERFECT,1,1,45.09945,3.784348249435425
task_4,0.471979891513448,0.943959783026896,SAFE (+1),16,8,12.7802925,12.064082145690918
task_5,0.495831502486711,0.991663004973422,SAFE (+1),16,8,4.8641777,4.905071258544922
task_6,0.47580794318083264,0.9516158863616653,SAFE (+1),16,8,14.91172,15.669894218444824
task_7,0.49078883392761724,0.9815776678552345,SAFE (+1),16,8,6.1638193,6.2795023918151855
task_8,0.2329426617639929,0.9317706470559716,SAFE (+2),4,1,12.646361,13.572397232055664
task_9,0.19245058166874082,0.7698023266749633,SAFE (+2),4,1,4.796418,3.692293882369995
task_10,0.23324500187923325,0.932980007516933,SAFE (+2),4,1,13.790784,12.866525650024414
task_11,0.16834409557893665,0.6733763823157466,SAFE (+2),4,1,5.668349,3.816932201385498
task_12,0.7267296963817369,0.7267296963817369,PERFECT,2,2,50.979557,70.1492691040039
task_13,0.7124222997653076,0.7124222997653076,PERFECT,2,2,17.233534,24.190053939819336
task_14,0.7899235466246691,0.7899235466246691,PERFECT,2,2,61.636112,78.02794647216797
task_15,0.7003199709085467,0.7003199709085467,PERFECT,2,2,22.84765,32.62458801269531
task_16,0.0,0.024658782561488193,FATAL,2,4,818.0207,20.17139434814453
task_17,0.0,0.053163754274779706,FATAL,2,4,1462.6348,77.7591552734375
task_18,0.0,0.0767162749444191,FATAL,2,4,601.3369,46.132328033447266
task_19,0.0,0.09095616630157403,FATAL,16,64,79.89378,878.3767700195312
task_20,0.0,0.1162178037541579,FATAL,16,64,26.261755,225.97015380859375
task_21,0.33199319975834546,0.33199319975834546,PERFECT,2,2,29.064716,9.649288177490234
task_22,0.4533975477425369,0.4533975477425369,PERFECT,2,2,17.95535,8.140912055969238
task_23,0.3181921007341079,0.3181921007341079,PERFECT,2,2,30.581165,9.730685234069824
task_24,0.4338801171622156,0.4338801171622156,PERFECT,2,2,19.436485,8.433104515075684
task_0,0.27724646972095596,0.27724646972095596,PERFECT,1,1,12.824758,3.5556187629699707
task_1,0.34143031969151405,0.34143031969151405,PERFECT,1,1,3.3351371,1.1387169361114502
task_2,0.09658748824029573,0.09658748824029573,PERFECT,1,1,67.440094,6.513869285583496
task_3,0.09004842133631351,0.09004842133631351,PERFECT,1,1,42.025703,3.784348249435425
task_4,0.460334561779396,0.920669123558792,SAFE (+1),16,8,13.103602,12.064082145690918
task_5,0.45960813735897116,0.9192162747179423,SAFE (+1),16,8,5.336145,4.905071258544922
task_6,0.45444515955285947,0.9088903191057189,SAFE (+1),16,8,14.242215,15.669894218444824
task_7,0.4614292561880382,0.9228585123760764,SAFE (+1),16,8,6.8044043,6.2795023918151855
task_8,0.2101837343281086,0.8407349373124344,SAFE (+2),4,1,11.410789,13.572397232055664
task_9,0.19076888718293883,0.7630755487317553,SAFE (+2),4,1,4.8387003,3.692293882369995
task_10,0.2313672726518045,0.925469090607218,SAFE (+2),4,1,11.907572,12.866525650024414
task_11,0.16917504276143014,0.6767001710457206,SAFE (+2),4,1,5.640507,3.816932201385498
task_12,0.5623169238917822,0.5623169238917822,PERFECT,2,2,39.44612,70.1492691040039
task_13,0.6540456556269616,0.6540456556269616,PERFECT,2,2,15.8214,24.190053939819336
task_14,0.626451620220784,0.626451620220784,PERFECT,2,2,48.880733,78.02794647216797
task_15,0.670815297333829,0.670815297333829,PERFECT,2,2,21.885073,32.62458801269531
task_16,0.07639957256313017,0.07639957256313017,PERFECT,4,4,264.02496,20.17139434814453
task_17,0.13796213985851474,0.13796213985851474,PERFECT,4,4,563.6268,77.7591552734375
task_18,0.19910706259403133,0.19910706259403133,PERFECT,4,4,231.69609,46.132328033447266
task_19,0.0,0.07292180358653563,FATAL,16,64,64.05282,878.3767700195312
task_20,0.0,0.1089521246281023,FATAL,16,64,24.619928,225.97015380859375
task_21,0.26554992705390473,0.26554992705390473,PERFECT,2,2,36.337,9.649288177490234
task_22,0.40031803664216564,0.40031803664216564,PERFECT,2,2,20.336111,8.140912055969238
task_23,0.2583579874165424,0.2583579874165424,PERFECT,2,2,37.663574,9.730685234069824
task_24,0.3924167401183683,0.3924167401183683,PERFECT,2,2,21.490175,8.433104515075684
task_0,0.30723485976876236,0.30723485976876236,PERFECT,1,1,11.572967,3.5556187629699707
task_1,0.2726441105618285,0.2726441105618285,PERFECT,1,1,4.176569,1.1387169361114502
task_2,0.10341884081889745,0.10341884081889745,PERFECT,1,1,62.985325,6.513869285583496
task_3,0.1345499051784148,0.1345499051784148,PERFECT,1,1,28.125982,3.784348249435425
task_4,0.4814179568368497,0.9628359136736994,SAFE (+1),16,8,12.529738,12.064082145690918
task_5,0.4430244257622479,0.8860488515244958,SAFE (+1),16,8,4.3461328,4.905071258544922
task_6,0.427723688194473,0.855447376388946,SAFE (+1),16,8,13.40477,15.669894218444824
task_7,0.46557551402069286,0.9311510280413857,SAFE (+1),16,8,5.847165,6.2795023918151855
task_8,0.24894765198347313,0.9957906079338925,SAFE (+2),4,1,13.62977,13.572397232055664
task_9,0.16761649618057942,0.6704659847223177,SAFE (+2),4,1,5.507056,3.692293882369995
task_10,0.2255230438019388,0.9020921752077552,SAFE (+2),4,1,14.262983,12.866525650024414
task_11,0.13859652142199047,0.5543860856879619,SAFE (+2),4,1,6.884971,3.816932201385498
task_12,0.5961111434368306,0.5961111434368306,PERFECT,2,2,41.81676,70.1492691040039
task_13,0.6360805847086806,0.6360805847086806,PERFECT,2,2,15.386824,24.190053939819336
task_14,0.6494045483652103,0.6494045483652103,PERFECT,2,2,50.671703,78.02794647216797
task_15,0.5880497618195721,0.5880497618195721,PERFECT,2,2,19.184881,32.62458801269531
task_16,0.0,0.042106880403180544,FATAL,2,4,479.05222,20.17139434814453
task_17,0.0,0.08441756494638747,FATAL,2,4,921.1253,77.7591552734375
task_18,0.10848698261669606,0.10848698261669606,PERFECT,4,4,425.23376,46.132328033447266
task_19,0.0,0.0774076223002399,FATAL,16,64,67.99306,878.3767700195312
task_20,0.0,0.12345918207490218,FATAL,16,64,27.89809,225.97015380859375
task_21,0.2951318413451509,0.2951318413451509,PERFECT,2,2,32.69484,9.649288177490234
task_22,0.4308436654506722,0.4308436654506722,PERFECT,2,2,18.89528,8.140912055969238
task_23,0.2769772726557068,0.2769772726557068,PERFECT,2,2,35.13171,9.730685234069824
task_24,0.404340192693212,0.404340192693212,PERFECT,2,2,20.856459,8.433104515075684
task_0,0.3687309649188306,0.3687309649188306,PERFECT,1,1,9.642854,3.5556187629699707
task_1,0.3638269633667983,0.3638269633667983,PERFECT,1,1,3.129831,1.1387169361114502
task_2,0.12573365172247863,0.12573365172247863,PERFECT,1,1,51.80689,6.513869285583496
task_3,0.10447361884813909,0.10447361884813909,PERFECT,1,1,36.223003,3.784348249435425
task_4,0.3506023435891643,0.7012046871783286,SAFE (+1),16,8,17.204794,12.064082145690918
task_5,0.3441897280177481,0.6883794560354962,SAFE (+1),16,8,7.125534,4.905071258544922
task_6,0.4133045630466809,0.8266091260933618,SAFE (+1),16,8,18.956837,15.669894218444824
task_7,0.378258755282927,0.756517510565854,SAFE (+1),16,8,8.300538,6.2795023918151855
task_8,0.4443549571414217,0.8887099142828434,SAFE (+1),2,1,12.061924,13.572397232055664
task_9,0.18806309260154647,0.7522523704061859,SAFE (+2),4,1,4.908318,3.692293882369995
task_10,0.48144076320476625,0.9628815264095325,SAFE (+1),2,1,12.38894,12.866525650024414
task_11,0.17513276917591744,0.7005310767036698,SAFE (+2),4,1,5.4486265,3.816932201385498
task_12,0.6257333512423862,0.6257333512423862,PERFECT,2,2,43.894737,70.1492691040039
task_13,0.64757720348936,0.64757720348936,PERFECT,2,2,15.6649275,24.190053939819336
task_14,0.6431601210840147,0.6431601210840147,PERFECT,2,2,50.184464,78.02794647216797
task_15,0.5970594012866655,0.5970594012866655,PERFECT,2,2,19.478817,32.62458801269531
task_16,0.0,0.044873674032029555,FATAL,2,4,449.5151,20.17139434814453
task_17,0.0,0.09648648468522834,FATAL,2,4,805.9072,77.7591552734375
task_18,0.12213056646675731,0.12213056646675731,PERFECT,4,4,377.72958,46.132328033447266
task_19,0.0,0.0933563883103189,FATAL,16,64,82.00208,878.3767700195312
task_20,0.0,0.11360230613713926,FATAL,16,64,25.67073,225.97015380859375
task_21,0.2825646901460387,0.2825646901460387,PERFECT,2,2,34.148952,9.649288177490234
task_22,0.4720724354666526,0.4720724354666526,PERFECT,2,2,17.245049,8.140912055969238
task_23,0.2508806450562756,0.2508806450562756,PERFECT,2,2,38.786114,9.730685234069824
task_24,0.42203420391693897,0.42203420391693897,PERFECT,2,2,19.98204,8.433104515075684
task_0,0.2423228513677819,0.2423228513677819,PERFECT,1,1,14.673064,3.5556187629699707
task_1,0.22666156470026455,0.22666156470026455,PERFECT,1,1,5.0238643,1.1387169361114502
task_2,0.11541157654848794,0.11541157654848794,PERFECT,1,1,56.440346,6.513869285583496
task_3,0.09572394400784669,0.09572394400784669,PERFECT,1,1,39.533978,3.784348249435425
task_4,0.41267178745070815,0.8253435749014163,SAFE (+1),16,8,14.617043,12.064082145690918
task_5,0.4467720184412657,0.8935440368825314,SAFE (+1),16,8,5.4894567,4.905071258544922
task_6,0.45657357917373753,0.9131471583474751,SAFE (+1),16,8,17.160316,15.669894218444824
task_7,0.4482668651116485,0.896533730223297,SAFE (+1),16,8,7.004201,6.2795023918151855
task_8,0.24544844990299816,0.9817937996119926,SAFE (+2),4,1,13.325295,13.572397232055664
task_9,0.1798909809710027,0.7195639238840108,SAFE (+2),4,1,5.131294,3.692293882369995
task_10,0.20844477967614228,0.8337791187045691,SAFE (+2),4,1,15.431576,12.866525650024414
task_11,0.1575731991070831,0.6302927964283324,SAFE (+2),4,1,6.055808,3.816932201385498
task_12,0.6366769426201561,0.6366769426201561,PERFECT,2,2,44.662422,70.1492691040039
task_13,0.6865947752641325,0.6865947752641325,PERFECT,2,2,16.608765,24.190053939819336
task_14,0.6189131048444068,0.6189131048444068,PERFECT,2,2,48.29252,78.02794647216797
task_15,0.5909300846318084,0.5909300846318084,PERFECT,2,2,19.27885,32.62458801269531
task_16,0.0,0.06934287138061268,FATAL,2,4,290.89355,20.17139434814453
task_17,0.0,0.09863056670735482,FATAL,2,4,788.388,77.7591552734375
task_18,0.13789035654948673,0.13789035654948673,PERFECT,4,4,334.55804,46.132328033447266
task_19,0.0,0.08413763152454691,FATAL,16,64,73.90454,878.3767700195312
task_20,0.0,0.13102804307868499,FATAL,16,64,29.608427,225.97015380859375
task_21,0.2286900995612175,0.2286900995612175,PERFECT,2,2,42.19373,9.649288177490234
task_22,0.38752091642780556,0.38752091642780556,PERFECT,2,2,21.007671,8.140912055969238
task_23,0.21299342242597535,0.21299342242597535,PERFECT,2,2,45.68538,9.730685234069824
task_24,0.3647222897500128,0.3647222897500128,PERFECT,2,2,23.121988,8.433104515075684
task_0,0.21992507059913202,0.21992507059913202,PERFECT,1,1,16.16741,3.5556187629699707
task_1,0.24316275389885184,0.24316275389885184,PERFECT,1,1,4.6829414,1.1387169361114502
task_2,0.12534939446123572,0.12534939446123572,PERFECT,1,1,51.965702,6.513869285583496
task_3,0.15033396103553665,0.15033396103553665,PERFECT,1,1,25.172943,3.784348249435425
task_4,0.47188052310031464,0.9437610462006293,SAFE (+1),16,8,12.782984,12.064082145690918
task_5,0.43748828582205335,0.8749765716441067,SAFE (+1),16,8,4.2918224,4.905071258544922
task_6,0.44480300284674007,0.8896060056934801,SAFE (+1),16,8,13.940032,15.669894218444824
task_7,0.42262510392722463,0.8452502078544493,SAFE (+1),16,8,5.3077507,6.2795023918151855
task_8,0.17697863008539394,0.7079145203415758,SAFE (+2),4,1,9.608097,13.572397232055664
task_9,0.21394581455060033,0.8557832582024013,SAFE (+2),4,1,4.31452,3.692293882369995
